CMDLINE python countless3d.py
MEM 0.851562 1517462543.2584
MEM 21.402344 1517462543.3587
MEM 303.996094 1517462543.4591
MEM 327.062500 1517462543.5595
MEM 359.132812 1517462543.6599
MEM 344.941406 1517462543.7602
MEM 359.171875 1517462543.8606
MEM 359.171875 1517462543.9610
MEM 343.136719 1517462544.0614
MEM 359.171875 1517462544.1618
MEM 359.171875 1517462544.2621
MEM 342.906250 1517462544.3625
MEM 359.171875 1517462544.4629
MEM 359.171875 1517462544.5632
MEM 327.363281 1517462544.6636
MEM 359.171875 1517462544.7640
MEM 352.941406 1517462544.8643
MEM 359.171875 1517462544.9647
MEM 359.171875 1517462545.0651
MEM 343.136719 1517462545.1655
MEM 359.171875 1517462545.2659
MEM 359.171875 1517462545.3662
MEM 336.906250 1517462545.4666
MEM 359.171875 1517462545.5669
MEM 359.171875 1517462545.6673
MEM 359.171875 1517462545.7677
MEM 359.171875 1517462545.8681
MEM 346.941406 1517462545.9685
MEM 359.171875 1517462546.0688
MEM 359.171875 1517462546.1692
MEM 343.136719 1517462546.2696
MEM 359.171875 1517462546.3700
MEM 359.171875 1517462546.4704
MEM 334.906250 1517462546.5708
MEM 359.171875 1517462546.6711
MEM 356.941406 1517462546.7715
MEM 359.171875 1517462546.8719
MEM 359.171875 1517462546.9723
MEM 343.136719 1517462547.0726
MEM 359.171875 1517462547.1730
MEM 359.171875 1517462547.2734
MEM 342.906250 1517462547.3737
MEM 359.171875 1517462547.4741
MEM 359.171875 1517462547.5745
MEM 327.363281 1517462547.6749
MEM 359.171875 1517462547.7753
MEM 354.941406 1517462547.8756
MEM 359.171875 1517462547.9760
MEM 359.171875 1517462548.0764
MEM 343.136719 1517462548.1768
MEM 359.171875 1517462548.2771
MEM 359.171875 1517462548.3776
MEM 359.171875 1517462548.4779
MEM 359.171875 1517462548.5783
MEM 346.941406 1517462548.6787
MEM 359.171875 1517462548.7791
MEM 359.171875 1517462548.8795
MEM 343.136719 1517462548.9798
MEM 359.171875 1517462549.0802
MEM 350.906250 1517462549.1806
MEM 375.171875 1517462549.2810
MEM 375.171875 1517462549.3814
MEM 375.171875 1517462549.4817
MEM 375.171875 1517462549.5821
MEM 366.941406 1517462549.6825
MEM 359.136719 1517462549.7829
MEM 343.363281 1517462549.8832
MEM 375.171875 1517462549.9836
MEM 375.171875 1517462550.0840
MEM 375.171875 1517462550.1844
MEM 375.171875 1517462550.2847
MEM 366.941406 1517462550.3851
MEM 359.136719 1517462550.4855
MEM 375.171875 1517462550.5859
MEM 375.171875 1517462550.6862
MEM 375.171875 1517462550.7866
MEM 375.171875 1517462550.8870
MEM 375.171875 1517462550.9874
MEM 362.941406 1517462551.0877
MEM 359.136719 1517462551.1881
MEM 375.171875 1517462551.2886
MEM 375.171875 1517462551.3889
MEM 375.171875 1517462551.4893
MEM 374.941406 1517462551.5897
MEM 359.136719 1517462551.6901
MEM 346.906250 1517462551.7905
MEM 375.171875 1517462551.8909
MEM 375.171875 1517462551.9912
MEM 375.171875 1517462552.0916
MEM 375.171875 1517462552.1920
MEM 359.136719 1517462552.2924
MEM 391.207031 1517462552.3927
MEM 375.136719 1517462552.4931
MEM 390.941406 1517462552.5935
MEM 391.171875 1517462552.6939
MEM 391.171875 1517462552.7942
MEM 375.136719 1517462552.8946
MEM 376.425781 1517462552.9950
MEM 359.363281 1517462553.0954
MEM 327.214844 1517462553.1957
MEM 352.796875 1517462553.2961
MEM 375.062500 1517462553.3965
MEM 375.179688 1517462553.4969
MEM 375.179688 1517462553.5973
MEM 375.179688 1517462553.6977
