CMDLINE python countless3d.py
MEM 0.601562 1517463008.5643
MEM 19.332031 1517463008.6646
MEM 170.195312 1517463008.7650
MEM 231.128906 1517463008.8654
MEM 263.199219 1517463008.9658
MEM 295.011719 1517463009.0662
MEM 343.117188 1517463009.1666
MEM 369.871094 1517463009.2669
MEM 422.980469 1517463009.3673
MEM 455.050781 1517463009.4677
MEM 487.894531 1517463009.5681
MEM 535.226562 1517463009.6685
MEM 596.089844 1517463009.7688
MEM 631.179688 1517463009.8692
MEM 682.058594 1517463009.9696
MEM 727.132812 1517463010.0700
MEM 769.976562 1517463010.1704
MEM 791.015625 1517463010.2708
MEM 839.121094 1517463010.3712
MEM 871.191406 1517463010.4716
MEM 919.039062 1517463010.5719
MEM 951.109375 1517463010.6723
MEM 983.179688 1517463010.7727
MEM 1028.023438 1517463010.8731
MEM 1047.062500 1517463010.9735
MEM 1079.132812 1517463011.0739
MEM 1105.941406 1517463011.1742
MEM 1111.234375 1517463011.2746
MEM 1111.234375 1517463011.3750
MEM 1111.234375 1517463011.4754
MEM 1111.234375 1517463011.5758
MEM 1111.234375 1517463011.6762
MEM 1111.234375 1517463011.7766
MEM 1111.234375 1517463011.8770
MEM 1111.234375 1517463011.9774
MEM 1111.234375 1517463012.0778
MEM 1111.234375 1517463012.1782
MEM 1111.234375 1517463012.2786
MEM 1111.234375 1517463012.3790
MEM 1111.234375 1517463012.4794
MEM 1111.234375 1517463012.5798
MEM 1111.234375 1517463012.6802
MEM 1111.234375 1517463012.7806
MEM 1111.234375 1517463012.8810
MEM 1111.234375 1517463012.9814
MEM 183.878906 1517463013.0817
MEM 247.246094 1517463013.1821
MEM 279.058594 1517463013.2825
MEM 311.128906 1517463013.3829
MEM 355.972656 1517463013.4833
MEM 381.878906 1517463013.5836
MEM 438.988281 1517463013.6841
MEM 471.058594 1517463013.7845
MEM 503.128906 1517463013.8849
MEM 550.460938 1517463013.9852
MEM 603.855469 1517463014.0856
MEM 647.187500 1517463014.1860
MEM 695.035156 1517463014.2864
MEM 743.140625 1517463014.3868
MEM 775.210938 1517463014.4872
MEM 807.023438 1517463014.5876
MEM 845.867188 1517463014.6879
MEM 887.199219 1517463014.7883
MEM 932.042969 1517463014.8887
MEM 967.117188 1517463014.9891
MEM 999.187500 1517463015.0895
MEM 1031.000000 1517463015.1898
MEM 1063.070312 1517463015.2902
MEM 1095.140625 1517463015.3906
MEM 1111.175781 1517463015.4910
MEM 1142.957031 1517463015.5914
MEM 1143.214844 1517463015.6918
MEM 1143.214844 1517463015.7921
MEM 1143.214844 1517463015.8925
MEM 1143.214844 1517463015.9929
MEM 1143.214844 1517463016.0933
MEM 1143.214844 1517463016.1937
MEM 1143.214844 1517463016.2941
MEM 1143.214844 1517463016.3945
MEM 1143.214844 1517463016.4949
MEM 1143.214844 1517463016.5953
MEM 1143.214844 1517463016.6957
MEM 1143.214844 1517463016.7961
MEM 1143.214844 1517463016.8965
MEM 1143.214844 1517463016.9969
MEM 1143.214844 1517463017.0973
MEM 1143.214844 1517463017.1977
MEM 1143.214844 1517463017.2981
MEM 199.371094 1517463017.3985
MEM 247.214844 1517463017.4988
MEM 279.027344 1517463017.5992
MEM 311.097656 1517463017.6996
MEM 358.171875 1517463017.8000
MEM 383.882812 1517463017.9003
MEM 438.992188 1517463018.0007
MEM 471.062500 1517463018.1011
MEM 503.132812 1517463018.2015
MEM 549.976562 1517463018.3018
MEM 601.859375 1517463018.4022
MEM 647.191406 1517463018.5026
MEM 695.039062 1517463018.6030
MEM 743.144531 1517463018.7034
MEM 775.988281 1517463018.8038
MEM 807.027344 1517463018.9042
MEM 851.871094 1517463019.0045
MEM 887.203125 1517463019.1049
MEM 935.050781 1517463019.2053
MEM 967.121094 1517463019.3057
MEM 999.191406 1517463019.4061
MEM 1038.035156 1517463019.5065
MEM 1063.074219 1517463019.6069
MEM 1095.144531 1517463019.7073
MEM 1115.953125 1517463019.8076
MEM 1143.214844 1517463019.9080
MEM 1143.214844 1517463020.0084
MEM 1143.214844 1517463020.1087
MEM 1143.214844 1517463020.2091
MEM 1143.214844 1517463020.3095
MEM 1143.214844 1517463020.4099
MEM 1143.214844 1517463020.5103
MEM 1143.214844 1517463020.6107
MEM 1143.214844 1517463020.7111
