CMDLINE python countless3d.py
MEM 0.601562 1517462857.6671
MEM 21.406250 1517462857.7674
MEM 177.765625 1517462857.8678
MEM 247.167969 1517462857.9682
MEM 293.753906 1517462858.0686
MEM 327.085938 1517462858.1689
MEM 359.156250 1517462858.2693
MEM 407.003906 1517462858.3697
MEM 439.074219 1517462858.4701
MEM 471.144531 1517462858.5705
MEM 503.214844 1517462858.6709
MEM 565.835938 1517462858.7713
MEM 631.238281 1517462858.8717
MEM 667.824219 1517462858.9721
MEM 711.156250 1517462859.0724
MEM 759.003906 1517462859.1728
MEM 763.875000 1517462859.2732
MEM 807.207031 1517462859.3736
MEM 871.089844 1517462859.4740
MEM 919.195312 1517462859.5743
MEM 951.781250 1517462859.6747
MEM 983.207031 1517462859.7751
MEM 1015.019531 1517462859.8754
MEM 1063.125000 1517462859.9758
MEM 1079.210938 1517462860.0762
MEM 1111.023438 1517462860.1766
MEM 1127.210938 1517462860.2769
MEM 1127.238281 1517462860.3773
MEM 1127.238281 1517462860.4777
MEM 1127.238281 1517462860.5781
MEM 1127.238281 1517462860.6785
MEM 1127.238281 1517462860.7789
MEM 1127.238281 1517462860.8792
MEM 1127.238281 1517462860.9796
MEM 1127.238281 1517462861.0800
MEM 1127.238281 1517462861.1804
MEM 1143.011719 1517462861.2808
MEM 1159.046875 1517462861.3812
MEM 1207.152344 1517462861.4816
MEM 1239.207031 1517462861.5819
MEM 1261.757812 1517462861.6823
MEM 1287.207031 1517462861.7827
MEM 1302.984375 1517462861.8831
MEM 1335.054688 1517462861.9834
MEM 1351.089844 1517462862.0838
MEM 1367.125000 1517462862.1842
MEM 1381.910156 1517462862.2846
MEM 1111.375000 1517462862.3849
MEM 1111.375000 1517462862.4853
MEM 1111.375000 1517462862.5857
MEM 1111.375000 1517462862.6861
MEM 1111.375000 1517462862.7866
MEM 1111.375000 1517462862.8870
MEM 1111.375000 1517462862.9874
MEM 1111.375000 1517462863.0877
MEM 1111.375000 1517462863.1881
MEM 1111.375000 1517462863.2885
MEM 1111.375000 1517462863.3889
MEM 1111.375000 1517462863.4892
MEM 1111.375000 1517462863.5896
MEM 1111.375000 1517462863.6900
MEM 1111.375000 1517462863.7904
MEM 1111.375000 1517462863.8908
MEM 1111.375000 1517462863.9912
MEM 1111.375000 1517462864.0916
MEM 1111.375000 1517462864.1920
MEM 1111.375000 1517462864.2924
MEM 1111.375000 1517462864.3927
MEM 1111.375000 1517462864.4931
MEM 1111.375000 1517462864.5935
MEM 1143.183594 1517462864.6939
MEM 1159.218750 1517462864.7943
MEM 1159.218750 1517462864.8947
MEM 1159.218750 1517462864.9951
MEM 1159.218750 1517462865.0955
MEM 1159.218750 1517462865.1959
MEM 1159.218750 1517462865.2963
MEM 1159.218750 1517462865.3966
MEM 1159.218750 1517462865.4970
MEM 1159.218750 1517462865.5974
MEM 1159.218750 1517462865.6978
MEM 1159.218750 1517462865.7982
MEM 1207.066406 1517462865.8986
MEM 1239.136719 1517462865.9990
MEM 1255.218750 1517462866.0994
MEM 1267.886719 1517462866.1998
MEM 1303.218750 1517462866.3002
MEM 1318.996094 1517462866.4006
MEM 1363.761719 1517462866.5010
MEM 1383.058594 1517462866.6013
MEM 1399.093750 1517462866.7017
MEM 1399.187500 1517462866.8021
MEM 1351.375000 1517462866.9025
MEM 1351.375000 1517462867.0029
MEM 1351.375000 1517462867.1033
MEM 1351.375000 1517462867.2036
MEM 1351.375000 1517462867.3040
MEM 1351.375000 1517462867.4044
MEM 1351.375000 1517462867.5048
MEM 1351.375000 1517462867.6051
MEM 1351.375000 1517462867.7055
MEM 1351.375000 1517462867.8059
MEM 1351.375000 1517462867.9064
MEM 1351.375000 1517462868.0068
MEM 1351.375000 1517462868.1071
MEM 1351.375000 1517462868.2075
MEM 1351.375000 1517462868.3079
MEM 1351.375000 1517462868.4083
MEM 1351.375000 1517462868.5087
MEM 1351.375000 1517462868.6090
MEM 1351.375000 1517462868.7094
MEM 1351.375000 1517462868.8098
MEM 1351.375000 1517462868.9102
MEM 1351.375000 1517462869.0106
MEM 1351.375000 1517462869.1110
MEM 1351.375000 1517462869.2113
MEM 1351.375000 1517462869.3117
MEM 1351.375000 1517462869.4121
MEM 1351.375000 1517462869.5125
MEM 1351.375000 1517462869.6129
MEM 1351.375000 1517462869.7133
MEM 1351.375000 1517462869.8137
MEM 1351.375000 1517462869.9141
MEM 1351.375000 1517462870.0144
MEM 1351.375000 1517462870.1148
MEM 1351.375000 1517462870.2152
MEM 1351.375000 1517462870.3156
MEM 1351.375000 1517462870.4160
MEM 1351.375000 1517462870.5164
MEM 1351.375000 1517462870.6168
MEM 1351.375000 1517462870.7172
MEM 1351.375000 1517462870.8175
MEM 1367.148438 1517462870.9180
MEM 1383.183594 1517462871.0184
MEM 1399.218750 1517462871.1188
MEM 1399.187500 1517462871.2192
MEM 455.371094 1517462871.3196
MEM 455.371094 1517462871.4199
MEM 455.371094 1517462871.5203
MEM 455.371094 1517462871.6207
MEM 455.371094 1517462871.7210
MEM 455.371094 1517462871.8214
MEM 465.882812 1517462871.9218
MEM 503.214844 1517462872.0222
MEM 535.027344 1517462872.1226
MEM 615.203125 1517462872.2230
MEM 663.050781 1517462872.3233
MEM 710.640625 1517462872.4237
MEM 743.226562 1517462872.5241
MEM 781.812500 1517462872.6245
MEM 817.953125 1517462872.7248
MEM 839.250000 1517462872.8252
MEM 887.097656 1517462872.9256
MEM 951.238281 1517462873.0260
MEM 983.050781 1517462873.1264
MEM 999.214844 1517462873.2268
MEM 1047.062500 1517462873.3272
MEM 1079.132812 1517462873.4276
MEM 1095.214844 1517462873.5280
MEM 1126.921875 1517462873.6283
MEM 1158.992188 1517462873.7287
MEM 1158.992188 1517462873.8290
MEM 1158.992188 1517462873.9295
MEM 1158.992188 1517462874.0299
MEM 1158.992188 1517462874.1302
MEM 1158.992188 1517462874.2306
MEM 1158.992188 1517462874.3310
MEM 1158.992188 1517462874.4314
MEM 1158.992188 1517462874.5318
MEM 1158.992188 1517462874.6321
MEM 1158.992188 1517462874.7325
MEM 1191.062500 1517462874.8329
MEM 1239.167969 1517462874.9333
MEM 1255.214844 1517462875.0336
MEM 1287.027344 1517462875.1340
MEM 1303.214844 1517462875.2344
MEM 1318.992188 1517462875.3348
MEM 1351.246094 1517462875.4351
MEM 1379.792969 1517462875.5355
MEM 1383.054688 1517462875.6359
MEM 1399.183594 1517462875.7363
MEM 1351.371094 1517462875.8367
MEM 1351.371094 1517462875.9370
MEM 1351.371094 1517462876.0374
MEM 1351.371094 1517462876.1378
MEM 1351.371094 1517462876.2381
MEM 1351.371094 1517462876.3386
MEM 1351.371094 1517462876.4389
MEM 1351.371094 1517462876.5393
MEM 1351.371094 1517462876.6397
MEM 1351.371094 1517462876.7401
MEM 1351.371094 1517462876.8405
MEM 1351.371094 1517462876.9408
MEM 1351.371094 1517462877.0412
MEM 1351.371094 1517462877.1416
MEM 1351.371094 1517462877.2420
MEM 1351.371094 1517462877.3424
MEM 1351.371094 1517462877.4428
MEM 1351.371094 1517462877.5432
MEM 1351.371094 1517462877.6435
MEM 1351.371094 1517462877.7439
MEM 1351.371094 1517462877.8443
MEM 1351.371094 1517462877.9447
MEM 1351.371094 1517462878.0450
MEM 1351.371094 1517462878.1455
MEM 1351.371094 1517462878.2459
MEM 1351.371094 1517462878.3463
MEM 1351.371094 1517462878.4467
MEM 1351.371094 1517462878.5471
MEM 1351.371094 1517462878.6475
MEM 1351.371094 1517462878.7478
MEM 1351.371094 1517462878.8482
MEM 1351.371094 1517462878.9486
MEM 1351.371094 1517462879.0490
MEM 1351.371094 1517462879.1494
MEM 1351.371094 1517462879.2498
MEM 1351.371094 1517462879.3502
MEM 1351.371094 1517462879.4506
MEM 1351.371094 1517462879.5509
MEM 1351.371094 1517462879.6513
MEM 1351.371094 1517462879.7517
MEM 1351.371094 1517462879.8521
MEM 1383.179688 1517462879.9525
MEM 1399.214844 1517462880.0528
MEM 1399.183594 1517462880.1532
