CMDLINE python countless3d.py
MEM 0.601562 1517462706.9107
MEM 20.027344 1517462707.0111
MEM 282.476562 1517462707.1115
MEM 326.800781 1517462707.2118
MEM 378.750000 1517462707.3122
MEM 391.207031 1517462707.4126
MEM 352.906250 1517462707.5130
MEM 343.171875 1517462707.6134
MEM 359.136719 1517462707.7138
MEM 354.964844 1517462707.8142
MEM 380.718750 1517462707.9145
MEM 391.019531 1517462708.0149
MEM 324.906250 1517462708.1153
MEM 359.136719 1517462708.2157
MEM 350.718750 1517462708.3161
MEM 376.718750 1517462708.4164
MEM 384.789062 1517462708.5168
MEM 359.363281 1517462708.6172
MEM 356.906250 1517462708.7176
MEM 343.171875 1517462708.8179
MEM 359.136719 1517462708.9184
MEM 354.964844 1517462709.0187
MEM 378.718750 1517462709.1191
MEM 386.789062 1517462709.2195
MEM 359.363281 1517462709.3199
MEM 359.136719 1517462709.4203
MEM 343.171875 1517462709.5207
MEM 359.136719 1517462709.6210
MEM 358.964844 1517462709.7214
MEM 388.964844 1517462709.8218
MEM 350.906250 1517462709.9222
MEM 343.171875 1517462710.0226
MEM 359.136719 1517462710.1229
MEM 354.964844 1517462710.2233
MEM 378.718750 1517462710.3237
MEM 384.789062 1517462710.4241
MEM 359.363281 1517462710.5244
MEM 359.136719 1517462710.6248
MEM 343.171875 1517462710.7252
MEM 359.136719 1517462710.8256
MEM 358.964844 1517462710.9260
MEM 386.964844 1517462711.0264
MEM 343.363281 1517462711.1267
MEM 327.394531 1517462711.2271
MEM 359.136719 1517462711.3275
MEM 343.687500 1517462711.4279
MEM 359.136719 1517462711.5282
MEM 382.789062 1517462711.6286
MEM 359.363281 1517462711.7290
MEM 359.136719 1517462711.8294
MEM 343.171875 1517462711.9298
MEM 359.136719 1517462712.0302
MEM 354.964844 1517462712.1306
MEM 378.718750 1517462712.2309
MEM 382.789062 1517462712.3313
MEM 359.363281 1517462712.4317
MEM 358.906250 1517462712.5321
MEM 343.171875 1517462712.6325
MEM 359.136719 1517462712.7328
MEM 352.964844 1517462712.8332
MEM 378.718750 1517462712.9336
MEM 384.789062 1517462713.0340
MEM 359.363281 1517462713.1344
MEM 346.718750 1517462713.2347
MEM 391.019531 1517462713.3351
MEM 391.207031 1517462713.4355
MEM 374.941406 1517462713.5359
MEM 359.136719 1517462713.6362
MEM 391.207031 1517462713.7366
MEM 391.207031 1517462713.8370
MEM 391.207031 1517462713.9374
MEM 366.941406 1517462714.0377
MEM 359.136719 1517462714.1381
MEM 391.207031 1517462714.2385
MEM 391.207031 1517462714.3389
MEM 391.207031 1517462714.4393
MEM 370.941406 1517462714.5397
MEM 359.136719 1517462714.6400
MEM 391.207031 1517462714.7404
MEM 391.207031 1517462714.8408
MEM 391.207031 1517462714.9412
MEM 362.941406 1517462715.0415
MEM 359.136719 1517462715.1419
MEM 391.207031 1517462715.2423
MEM 391.207031 1517462715.3427
MEM 391.207031 1517462715.4430
MEM 364.941406 1517462715.5434
MEM 343.363281 1517462715.6438
MEM 391.207031 1517462715.7442
MEM 391.207031 1517462715.8446
MEM 374.941406 1517462715.9449
MEM 359.136719 1517462716.0453
MEM 391.207031 1517462716.1457
MEM 391.207031 1517462716.2461
MEM 391.207031 1517462716.3465
MEM 362.941406 1517462716.4469
MEM 359.136719 1517462716.5473
MEM 391.207031 1517462716.6477
MEM 356.957031 1517462716.7480
MEM 359.136719 1517462716.8484
MEM 374.941406 1517462716.9488
MEM 375.171875 1517462717.0491
MEM 375.171875 1517462717.1496
MEM 343.363281 1517462717.2500
MEM 356.906250 1517462717.3504
MEM 359.136719 1517462717.4507
MEM 368.941406 1517462717.5511
MEM 320.972656 1517462717.6515
MEM 370.972656 1517462717.7518
MEM 407.027344 1517462717.8522
MEM 336.914062 1517462717.9526
MEM 375.144531 1517462718.0530
MEM 360.726562 1517462718.1533
MEM 382.949219 1517462718.2537
MEM 384.761719 1517462718.3541
MEM 406.972656 1517462718.4545
MEM 370.914062 1517462718.5548
MEM 359.179688 1517462718.6552
MEM 375.144531 1517462718.7556
MEM 386.761719 1517462718.8560
MEM 406.972656 1517462718.9563
MEM 364.914062 1517462719.0567
MEM 348.949219 1517462719.1571
MEM 375.144531 1517462719.2575
MEM 364.726562 1517462719.3579
MEM 382.949219 1517462719.4582
MEM 398.796875 1517462719.5586
MEM 375.371094 1517462719.6590
MEM 374.914062 1517462719.7594
MEM 359.179688 1517462719.8597
MEM 375.144531 1517462719.9601
MEM 372.972656 1517462720.0605
MEM 398.972656 1517462720.1608
MEM 407.027344 1517462720.2612
MEM 340.914062 1517462720.3616
MEM 375.144531 1517462720.4620
MEM 364.726562 1517462720.5624
MEM 394.726562 1517462720.6628
MEM 402.796875 1517462720.7632
MEM 375.371094 1517462720.8635
MEM 375.144531 1517462720.9639
MEM 359.179688 1517462721.0643
MEM 375.144531 1517462721.1647
MEM 374.972656 1517462721.2651
MEM 400.972656 1517462721.3654
MEM 407.027344 1517462721.4658
MEM 340.914062 1517462721.5662
MEM 375.144531 1517462721.6666
MEM 362.726562 1517462721.7670
MEM 375.144531 1517462721.8674
MEM 392.796875 1517462721.9677
MEM 375.371094 1517462722.0681
MEM 375.144531 1517462722.1685
MEM 359.179688 1517462722.2690
MEM 375.144531 1517462722.3693
MEM 380.761719 1517462722.4697
MEM 402.972656 1517462722.5701
MEM 407.027344 1517462722.6705
MEM 330.914062 1517462722.7708
MEM 375.144531 1517462722.8712
MEM 359.179688 1517462722.9716
MEM 375.144531 1517462723.0720
MEM 378.761719 1517462723.1723
MEM 402.972656 1517462723.2727
MEM 359.882812 1517462723.3731
MEM 340.914062 1517462723.4735
MEM 375.144531 1517462723.5739
MEM 359.179688 1517462723.6743
MEM 378.761719 1517462723.7746
MEM 375.144531 1517462723.8750
MEM 407.214844 1517462723.9754
MEM 407.214844 1517462724.0758
MEM 407.214844 1517462724.1762
MEM 384.949219 1517462724.2766
MEM 375.144531 1517462724.3770
MEM 407.214844 1517462724.4774
MEM 407.214844 1517462724.5778
MEM 407.214844 1517462724.6781
