CMDLINE python countless3d.py
MEM 0.601562 1517462664.2747
MEM 20.027344 1517462664.3751
MEM 166.636719 1517462664.4755
MEM 229.246094 1517462664.5759
MEM 263.316406 1517462664.6763
MEM 311.316406 1517462664.7767
MEM 353.316406 1517462664.8771
MEM 391.316406 1517462664.9775
MEM 423.316406 1517462665.0780
MEM 455.316406 1517462665.1784
MEM 487.316406 1517462665.2788
MEM 523.316406 1517462665.3792
MEM 579.316406 1517462665.4796
MEM 619.316406 1517462665.5800
MEM 663.316406 1517462665.6804
MEM 695.316406 1517462665.7808
MEM 743.316406 1517462665.8813
MEM 775.316406 1517462665.9817
MEM 791.316406 1517462666.0822
MEM 839.316406 1517462666.1826
MEM 871.316406 1517462666.2830
MEM 907.316406 1517462666.3834
MEM 951.316406 1517462666.4839
MEM 967.316406 1517462666.5843
MEM 999.316406 1517462666.6848
MEM 1047.316406 1517462666.7853
MEM 1063.316406 1517462666.8857
MEM 1095.316406 1517462666.9861
MEM 1079.355469 1517462667.0866
MEM 1111.316406 1517462667.1870
MEM 1111.316406 1517462667.2874
MEM 1111.316406 1517462667.3878
MEM 1111.316406 1517462667.4882
MEM 1111.316406 1517462667.5886
MEM 1111.316406 1517462667.6890
MEM 1111.316406 1517462667.7894
MEM 1111.316406 1517462667.8898
MEM 1111.316406 1517462667.9902
MEM 1111.316406 1517462668.0906
MEM 1111.316406 1517462668.1910
MEM 1111.316406 1517462668.2914
MEM 1111.316406 1517462668.3919
MEM 1111.316406 1517462668.4923
MEM 1111.316406 1517462668.5927
MEM 1111.316406 1517462668.6931
MEM 1111.316406 1517462668.7935
MEM 1111.316406 1517462668.8940
MEM 231.160156 1517462668.9944
MEM 279.324219 1517462669.0948
MEM 311.324219 1517462669.1952
MEM 357.324219 1517462669.2956
MEM 391.160156 1517462669.3960
MEM 439.324219 1517462669.4964
MEM 487.324219 1517462669.5968
MEM 519.324219 1517462669.6972
MEM 571.324219 1517462669.7975
MEM 631.324219 1517462669.8979
MEM 679.324219 1517462669.9983
MEM 711.324219 1517462670.0988
MEM 759.324219 1517462670.1992
MEM 807.324219 1517462670.2996
MEM 839.324219 1517462670.4000
MEM 871.324219 1517462670.5004
MEM 919.324219 1517462670.6008
MEM 967.324219 1517462670.7013
MEM 991.324219 1517462670.8017
MEM 1031.324219 1517462670.9021
MEM 1063.324219 1517462671.0025
MEM 1095.324219 1517462671.1030
MEM 1123.324219 1517462671.2034
MEM 1143.324219 1517462671.3038
MEM 1143.324219 1517462671.4042
MEM 1143.324219 1517462671.5047
MEM 1143.324219 1517462671.6051
MEM 1143.324219 1517462671.7055
MEM 1143.324219 1517462671.8059
MEM 1143.324219 1517462671.9063
MEM 1143.324219 1517462672.0067
MEM 1143.324219 1517462672.1071
MEM 1143.324219 1517462672.2075
MEM 1143.324219 1517462672.3079
MEM 1143.324219 1517462672.4083
MEM 1143.324219 1517462672.5087
MEM 1143.324219 1517462672.6091
MEM 1143.324219 1517462672.7096
MEM 1143.324219 1517462672.8100
MEM 1143.324219 1517462672.9104
MEM 1143.324219 1517462673.0108
MEM 199.367188 1517462673.1113
MEM 231.164062 1517462673.2117
MEM 279.328125 1517462673.3121
MEM 311.328125 1517462673.4125
MEM 359.328125 1517462673.5129
MEM 399.164062 1517462673.6133
MEM 447.328125 1517462673.7137
MEM 487.328125 1517462673.8141
MEM 519.328125 1517462673.9145
MEM 583.328125 1517462674.0149
MEM 631.328125 1517462674.1154
MEM 679.328125 1517462674.2158
MEM 727.328125 1517462674.3162
MEM 767.328125 1517462674.4166
MEM 807.328125 1517462674.5170
MEM 839.328125 1517462674.6174
MEM 887.328125 1517462674.7178
MEM 925.328125 1517462674.8182
MEM 967.328125 1517462674.9186
MEM 999.328125 1517462675.0190
MEM 1047.328125 1517462675.1193
MEM 1063.328125 1517462675.2197
MEM 1101.328125 1517462675.3201
MEM 1127.328125 1517462675.4205
MEM 1143.164062 1517462675.5208
MEM 1143.164062 1517462675.6212
MEM 1143.164062 1517462675.7216
MEM 1143.164062 1517462675.8220
MEM 1143.164062 1517462675.9224
MEM 1143.164062 1517462676.0227
MEM 1143.164062 1517462676.1231
MEM 1143.164062 1517462676.2234
MEM 1143.164062 1517462676.3238
MEM 1143.164062 1517462676.4242
MEM 1143.164062 1517462676.5246
MEM 1143.164062 1517462676.6249
MEM 1143.164062 1517462676.7253
MEM 1143.164062 1517462676.8257
MEM 1143.164062 1517462676.9260
MEM 1143.164062 1517462677.0264
MEM 1143.164062 1517462677.1268
MEM 225.164062 1517462677.2271
MEM 279.328125 1517462677.3275
MEM 311.328125 1517462677.4279
MEM 359.328125 1517462677.5282
MEM 391.328125 1517462677.6286
MEM 423.328125 1517462677.7290
MEM 471.328125 1517462677.8294
MEM 503.328125 1517462677.9298
MEM 549.328125 1517462678.0301
MEM 609.328125 1517462678.1305
MEM 647.328125 1517462678.2309
MEM 711.328125 1517462678.3313
MEM 753.328125 1517462678.4316
MEM 791.328125 1517462678.5320
MEM 807.328125 1517462678.6324
MEM 869.328125 1517462678.7328
MEM 909.328125 1517462678.8331
MEM 951.328125 1517462678.9335
MEM 967.328125 1517462679.0339
MEM 1015.328125 1517462679.1343
MEM 1059.328125 1517462679.2347
MEM 1079.328125 1517462679.3351
MEM 1111.328125 1517462679.4355
MEM 1127.164062 1517462679.5358
MEM 1143.164062 1517462679.6363
MEM 1143.164062 1517462679.7366
MEM 1143.164062 1517462679.8370
MEM 1143.164062 1517462679.9373
MEM 1143.164062 1517462680.0377
MEM 1143.164062 1517462680.1381
MEM 1143.164062 1517462680.2385
MEM 1143.164062 1517462680.3389
MEM 1143.164062 1517462680.4393
MEM 1143.164062 1517462680.5396
MEM 1143.164062 1517462680.6400
MEM 1143.164062 1517462680.7404
MEM 1143.164062 1517462680.8408
MEM 1143.164062 1517462680.9411
MEM 1143.164062 1517462681.0415
MEM 1143.164062 1517462681.1419
MEM 1143.164062 1517462681.2423
MEM 1143.164062 1517462681.3427
MEM 231.164062 1517462681.4430
MEM 263.328125 1517462681.5434
MEM 311.328125 1517462681.6438
MEM 343.328125 1517462681.7442
MEM 389.328125 1517462681.8445
MEM 423.328125 1517462681.9449
MEM 455.328125 1517462682.0453
MEM 501.328125 1517462682.1457
MEM 535.328125 1517462682.2460
MEM 599.328125 1517462682.3465
MEM 647.328125 1517462682.4468
MEM 695.328125 1517462682.5472
MEM 759.164062 1517462682.6476
MEM 791.328125 1517462682.7480
MEM 823.328125 1517462682.8484
MEM 871.328125 1517462682.9488
MEM 919.328125 1517462683.0492
MEM 951.328125 1517462683.1495
MEM 983.328125 1517462683.2499
MEM 1031.328125 1517462683.3503
MEM 1063.328125 1517462683.4507
MEM 1095.328125 1517462683.5511
MEM 1111.328125 1517462683.6515
MEM 1143.167969 1517462683.7518
MEM 1143.167969 1517462683.8522
MEM 1143.167969 1517462683.9526
MEM 1143.167969 1517462684.0530
MEM 1143.167969 1517462684.1534
MEM 1143.167969 1517462684.2538
MEM 1143.167969 1517462684.3541
MEM 1143.167969 1517462684.4546
MEM 1143.167969 1517462684.5549
MEM 1143.167969 1517462684.6553
MEM 1143.167969 1517462684.7557
MEM 1143.167969 1517462684.8562
MEM 1143.167969 1517462684.9565
MEM 1143.167969 1517462685.0569
MEM 1143.167969 1517462685.1573
MEM 1143.167969 1517462685.2576
MEM 1143.167969 1517462685.3580
